dl_arisetime,dl_errorfirerate
2017/8/19,0.018422992
2017/8/24,0.025055269
2017/8/28,0.027266028
2017/8/29,0.031319086
2017/9/3,0.032792926
2017/9/4,0.034266765
2017/9/5,0.034635225
2017/9/10,0.034635225
2017/9/11,0.034635225
2017/9/15,0.036477524
2017/9/17,0.036477524
2017/9/19,0.037214444
2017/11/19,0.056742815
2017/11/20,0.056742815
2017/11/21,0.056742815
2017/11/22,0.056742815
2017/11/23,0.056742815
2017/11/24,0.056742815
2017/11/25,0.056742815
2017/11/26,0.056742815
2017/11/27,0.056742815
2017/11/28,0.056742815
2017/11/29,0.057479735
2017/11/30,0.058216654
2017/10/2,0.037582903
2017/10/5,0.037582903
2017/10/6,0.037582903
2017/10/7,0.037582903
2017/10/8,0.037582903
2017/10/9,0.037582903
2017/10/10,0.056005895
2017/10/13,0.056005895
2017/10/15,0.056005895
2017/10/16,0.056005895
2017/10/18,0.056005895
2017/10/19,0.056005895
2017/9/22,0.037582903
2017/9/27,0.037582903
2017/10/1,0.037582903
2017/10/3,0.037582903
2017/10/4,0.037582903
2017/10/11,0.056005895
2017/10/12,0.056005895
2017/10/14,0.056005895
2017/10/17,0.056005895
2017/10/24,0.056005895
2017/10/25,0.056005895
2017/10/26,0.056005895
2017/10/27,0.056374355
2017/10/29,0.056374355
2017/11/1,0.11274871
2017/11/4,0.056742815
2017/11/6,0.11348563
2017/11/7,0.056742815
2017/11/17,0.056742815
2017/12/1,0.058585114
2017/12/2,0.058585114
2017/12/3,0.058585114
2017/12/4,0.058585114
2017/12/5,0.058585114
2017/12/6,0.058585114
2017/12/7,0.058585114
2017/12/8,0.058585114
2017/12/9,0.058585114
2017/12/10,0.058585114
2017/12/11,0.058585114
2017/12/12,0.058585114
2017/12/13,0.058585114
2017/12/14,0.058585114
2017/12/15,0.058585114
2017/12/16,0.058953574
2017/12/17,0.058953574
2017/10/20,0.056005895
2017/10/21,0.056005895
2017/10/22,0.056005895
2017/10/23,0.056005895
2017/10/28,0.056374355
2017/10/30,0.056374355
2017/10/31,0.056374355
2017/11/2,0.056374355
2017/11/3,0.056374355
2017/11/5,0.056742815
2017/11/9,0.056742815
2017/11/10,0.056742815
2017/11/11,0.056742815
2017/8/14,0.023949889
2017/8/15,0.018422992
2017/8/16,0.018422992
2017/8/17,0.018422992
2017/8/18,0.018422992
2017/8/20,0.036845984
2017/8/21,0.018422992
2017/8/22,0.018422992
2017/8/23,0.037214444
2017/8/25,0.026160648
2017/8/26,0.026529108
2017/8/27,0.026529108
2017/11/12,0.056742815
2017/11/13,0.056742815
2017/11/14,0.056742815
2017/11/15,0.056742815
2017/11/16,0.056742815
2017/11/18,0.056742815
2017/8/30,0.031687546
2017/8/31,0.032056006
2017/9/6,0.034635225
2017/9/7,0.034635225
2017/9/8,0.034635225
2017/9/9,0.034635225
2017/9/12,0.034635225
2017/9/13,0.034635225
2017/9/14,0.034635225
2017/9/16,0.036477524
2017/9/18,0.037214444
2017/9/20,0.037582903
2017/9/21,0.037582903
2017/9/23,0.037582903
2017/9/24,0.037582903
2017/9/25,0.037582903
2017/9/26,0.037582903
2017/9/28,0.037582903
2017/9/29,0.037582903
2017/9/30,0.037582903
